File: pprof_server
Build ID: 717c6d56ceac23ba68289f07b96462c920041c39
Type: cpu
Time: 2026-01-12 21:38:17 CST
Duration: 30.10s, Total samples = 78.37s (260.32%)
Showing nodes accounting for 58.59s, 74.76% of 78.37s total
Dropped 653 nodes (cum <= 0.39s)
      flat  flat%   sum%        cum   cum%
    34.06s 43.46% 43.46%     34.06s 43.46%  internal/runtime/syscall.Syscall6
     1.93s  2.46% 45.92%      2.20s  2.81%  github.com/dministrator/flow/internal/router.matchRoute
     1.61s  2.05% 47.98%      1.61s  2.05%  runtime.futex
     0.95s  1.21% 49.19%      0.95s  1.21%  runtime.nextFreeFast (inline)
     0.89s  1.14% 50.33%      7.60s  9.70%  github.com/dministrator/flow/internal/router.(*Router).ServeHTTP
     0.70s  0.89% 51.22%      0.88s  1.12%  runtime.casgstatus
     0.67s  0.85% 52.07%      0.67s  0.85%  runtime.memclrNoHeapPointers
     0.60s  0.77% 52.84%      0.60s  0.77%  time.runtimeNow
     0.59s  0.75% 53.59%      0.59s  0.75%  runtime.asyncPreempt
     0.53s  0.68% 54.27%      0.53s  0.68%  runtime.memmove
     0.53s  0.68% 54.94%      0.53s  0.68%  runtime.nanotime (inline)
     0.50s  0.64% 55.58%      0.55s   0.7%  runtime.(*mspan).writeHeapBitsSmall
     0.48s  0.61% 56.19%      0.48s  0.61%  runtime.(*mspan).specialFindSplicePoint (inline)
     0.48s  0.61% 56.81%      0.57s  0.73%  runtime.findObject
     0.47s   0.6% 57.41%      3.62s  4.62%  runtime.newobject
     0.46s  0.59% 57.99%      0.46s  0.59%  aeshashbody
     0.46s  0.59% 58.58%      0.72s  0.92%  runtime.lock2
     0.46s  0.59% 59.17%      0.53s  0.68%  runtime.step
     0.44s  0.56% 59.73%      1.18s  1.51%  runtime.pcvalue
     0.43s  0.55% 60.28%     60.87s 77.67%  net/http.(*conn).serve
     0.34s  0.43% 60.71%      0.88s  1.12%  runtime.mapaccess1_faststr
     0.34s  0.43% 61.15%         1s  1.28%  runtime.scanobject
     0.33s  0.42% 61.57%      1.55s  1.98%  internal/poll.runtime_pollSetDeadline
     0.32s  0.41% 61.98%      0.99s  1.26%  runtime.(*stkframe).getStackMap
     0.30s  0.38% 62.36%      0.94s  1.20%  runtime.(*unwinder).resolveInternal
     0.26s  0.33% 62.69%      5.32s  6.79%  runtime.mallocgcSmallScanNoHeader
     0.26s  0.33% 63.02%      0.75s  0.96%  runtime.unlock2
     0.25s  0.32% 63.34%      0.82s  1.05%  net/http.Header.writeSubset
     0.25s  0.32% 63.66%      0.86s  1.10%  net/textproto.canonicalMIMEHeaderKey
     0.25s  0.32% 63.98%      0.76s  0.97%  runtime.exitsyscall
     0.25s  0.32% 64.30%      4.56s  5.82%  runtime.findRunnable
     0.25s  0.32% 64.62%      7.57s  9.66%  runtime.mallocgc
     0.22s  0.28% 64.90%      0.77s  0.98%  net/textproto.CanonicalMIMEHeaderKey
     0.22s  0.28% 65.18%      0.73s  0.93%  runtime.reentersyscall
     0.21s  0.27% 65.45%      5.26s  6.71%  runtime.schedule
     0.20s  0.26% 65.70%      1.29s  1.65%  runtime.adjustframe
     0.18s  0.23% 65.93%      6.01s  7.67%  internal/poll.(*FD).Read
     0.18s  0.23% 66.16%     11.16s 14.24%  net/http.(*conn).readRequest
     0.17s  0.22% 66.38%      3.37s  4.30%  net/http.Header.Clone (inline)
     0.17s  0.22% 66.59%      1.84s  2.35%  runtime.netpoll
     0.16s   0.2% 66.80%      0.51s  0.65%  internal/runtime/maps.(*Map).getWithoutKeySmallFastStr
     0.16s   0.2% 67.00%      7.49s  9.56%  net/http.readRequest
     0.16s   0.2% 67.21%      0.56s  0.71%  sync.(*Pool).Get
     0.16s   0.2% 67.41%     29.30s 37.39%  syscall.RawSyscall6
     0.14s  0.18% 67.59%      0.84s  1.07%  context.(*cancelCtx).propagateCancel
     0.13s  0.17% 67.76%      8.97s 11.45%  github.com/dministrator/flow/pkg/flow.LoggingMiddleware.func1.1
     0.13s  0.17% 67.92%      6.85s  8.74%  net.(*conn).Read
     0.13s  0.17% 68.09%     15.51s 19.79%  net/http.(*response).finishRequest
     0.12s  0.15% 68.24%      2.39s  3.05%  net/http.(*chunkWriter).writeHeader
     0.12s  0.15% 68.39%     11.80s 15.06%  net/http.HandlerFunc.ServeHTTP
     0.12s  0.15% 68.55%      2.33s  2.97%  net/textproto.readMIMEHeader
     0.11s  0.14% 68.69%      0.75s  0.96%  context.(*cancelCtx).cancel
     0.11s  0.14% 68.83%      0.65s  0.83%  runtime.(*timer).modify
     0.11s  0.14% 68.97%      5.34s  6.81%  runtime.systemstack
     0.11s  0.14% 69.11%      0.71s  0.91%  time.Now
     0.10s  0.13% 69.24%      6.83s  8.72%  bufio.(*Reader).fill
     0.10s  0.13% 69.36%     11.78s 15.03%  github.com/dministrator/flow/pkg/flow.Recovery.func1.1
     0.10s  0.13% 69.49%      0.61s  0.78%  net/http.(*conn).setState
     0.10s  0.13% 69.62%      3.36s  4.29%  runtime.mapassign_faststr
     0.10s  0.13% 69.75%      5.95s  7.59%  runtime.mcall
     0.10s  0.13% 69.87%      1.21s  1.54%  runtime.slicebytetostring
     0.09s  0.11% 69.99%      5.08s  6.48%  bufio.(*Reader).Peek
     0.09s  0.11% 70.10%      0.45s  0.57%  internal/runtime/maps.(*Map).Delete
     0.09s  0.11% 70.22%      6.12s  7.81%  net.(*netFD).Read
     0.09s  0.11% 70.33%      0.54s  0.69%  runtime.mallocgcSmallNoscan
     0.09s  0.11% 70.45%      0.42s  0.54%  sync.(*Cond).Wait
     0.08s   0.1% 70.55%      2.02s  2.58%  bufio.(*Reader).ReadSlice
     0.08s   0.1% 70.65%     11.72s 14.95%  bufio.(*Writer).Flush
     0.08s   0.1% 70.75%     11.50s 14.67%  internal/poll.(*FD).Write
     0.08s   0.1% 70.86%     13.29s 16.96%  net/http.(*conn).serve.func1
     0.08s   0.1% 70.96%      6.69s  8.54%  net/http.(*connReader).Read
     0.08s   0.1% 71.06%      1.20s  1.53%  net/http.(*connReader).abortPendingRead
